| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 0.000000 | 0.250000 | 0.000000 | 0.051587 | 0.000000 | 0.011905 | 0.000000 | 0.000684 | 0.000000 |
| 0.012461 | 0.250000 | 0.049844 | 0.051587 | 0.241552 | 0.011905 | 1.046724 | 0.000684 | 18.205145 |
| 0.002489 | 0.250000 | 0.009956 | 0.051587 | 0.048250 | 0.011905 | 0.209083 | 0.000684 | 3.636477 |
| 0.004106 | 0.250000 | 0.016424 | 0.051587 | 0.079594 | 0.011905 | 0.344906 | 0.000684 | 5.998771 |
| -0.003999 | 0.250000 | -0.015996 | 0.051587 | -0.077518 | 0.011905 | -0.335909 | 0.000684 | -5.842306 |
| -0.004764 | 0.250000 | -0.019054 | 0.051587 | -0.092341 | 0.011905 | -0.400142 | 0.000684 | -6.959478 |
| 0.003115 | 0.250000 | 0.012458 | 0.051587 | 0.060375 | 0.011905 | 0.261623 | 0.000684 | 4.550281 |
| 0.002165 | 0.250000 | 0.008658 | 0.051587 | 0.041960 | 0.011905 | 0.181825 | 0.000684 | 3.162393 |
| 0.000003 | 0.250000 | 0.000012 | 0.051587 | 0.000057 | 0.011905 | 0.000246 | 0.000684 | 0.004274 |
| -0.002341 | 0.250000 | -0.009365 | 0.051587 | -0.045382 | 0.011905 | -0.196657 | 0.000684 | -3.420350 |
| 0.013875 | 0.250000 | 0.055499 | 0.051587 | 0.268958 | 0.011905 | 1.165483 | 0.000684 | 20.270669 |
| 0.007816 | 0.250000 | 0.031265 | 0.051587 | 0.151515 | 0.011905 | 0.656564 | 0.000684 | 11.419291 |
| -0.006405 | 0.250000 | -0.025621 | 0.051587 | -0.124163 | 0.011905 | -0.538038 | 0.000684 | -9.357818 |
| 0.011964 | 0.250000 | 0.047855 | 0.051587 | 0.231913 | 0.011905 | 1.004957 | 0.000684 | 17.478707 |
| 0.010471 | 0.250000 | 0.041883 | 0.051587 | 0.202971 | 0.011905 | 0.879540 | 0.000684 | 15.297405 |
| 0.023736 | 0.250000 | 0.094942 | 0.051587 | 0.460104 | 0.011905 | 1.993783 | 0.000684 | 34.676871 |
| 0.024271 | 0.250000 | 0.097085 | 0.051587 | 0.470489 | 0.011905 | 2.038786 | 0.000684 | 35.459577 |
| 0.004214 | 0.250000 | 0.016858 | 0.051587 | 0.081695 | 0.011905 | 0.354011 | 0.000684 | 6.157129 |
| -0.012046 | 0.250000 | -0.048185 | 0.051587 | -0.233511 | 0.011905 | -1.011882 | 0.000684 | -17.599152 |
| -0.036037 | 0.250000 | -0.144147 | 0.051587 | -0.698560 | 0.011905 | -3.027093 | 0.000684 | -52.648713 |
| 0.060721 | 0.250000 | 0.242882 | 0.051587 | 1.177044 | 0.011905 | 5.100523 | 0.000684 | 88.710838 |
| 0.029262 | 0.250000 | 0.117047 | 0.051587 | 0.567226 | 0.011905 | 2.457979 | 0.000684 | 42.750399 |
| -0.008423 | 0.250000 | -0.033693 | 0.051587 | -0.163281 | 0.011905 | -0.707551 | 0.000684 | -12.306082 |
| -0.007403 | 0.250000 | -0.029612 | 0.051587 | -0.143505 | 0.011905 | -0.621856 | 0.000684 | -10.815635 |
| -0.016917 | 0.250000 | -0.067669 | 0.051587 | -0.327936 | 0.011905 | -1.421054 | 0.000684 | -24.715680 |
| 0.008951 | 0.250000 | 0.035802 | 0.051587 | 0.173503 | 0.011905 | 0.751844 | 0.000684 | 13.076451 |
| 0.018753 | 0.250000 | 0.075014 | 0.051587 | 0.363528 | 0.011905 | 1.575286 | 0.000684 | 27.398164 |
| 0.002630 | 0.250000 | 0.010522 | 0.051587 | 0.050990 | 0.011905 | 0.220958 | 0.000684 | 3.843017 |
| 0.004991 | 0.250000 | 0.019965 | 0.051587 | 0.096754 | 0.011905 | 0.419267 | 0.000684 | 7.292108 |
| 0.016046 | 0.250000 | 0.064186 | 0.051587 | 0.311055 | 0.011905 | 1.347905 | 0.000684 | 23.443446 |
| -0.002045 | 0.250000 | -0.008181 | 0.051587 | -0.039648 | 0.011905 | -0.171810 | 0.000684 | -2.988197 |
| -0.014968 | 0.250000 | -0.059872 | 0.051587 | -0.290150 | 0.011905 | -1.257317 | 0.000684 | -21.867882 |
| 0.009020 | 0.250000 | 0.036082 | 0.051587 | 0.174858 | 0.011905 | 0.757719 | 0.000684 | 13.178622 |
| -0.001506 | 0.250000 | -0.006023 | 0.051587 | -0.029187 | 0.011905 | -0.126478 | 0.000684 | -2.199770 |
| -0.007522 | 0.250000 | -0.030088 | 0.051587 | -0.145812 | 0.011905 | -0.631850 | 0.000684 | -10.989456 |
| 0.005699 | 0.250000 | 0.022796 | 0.051587 | 0.110474 | 0.011905 | 0.478722 | 0.000684 | 8.326168 |
| 0.008612 | 0.250000 | 0.034447 | 0.051587 | 0.166933 | 0.011905 | 0.723377 | 0.000684 | 12.581329 |
| -0.001551 | 0.250000 | -0.006205 | 0.051587 | -0.030070 | 0.011905 | -0.130305 | 0.000684 | -2.266329 |
| -0.005261 | 0.250000 | -0.021044 | 0.051587 | -0.101982 | 0.011905 | -0.441922 | 0.000684 | -7.686127 |
| -0.008579 | 0.250000 | -0.034315 | 0.051587 | -0.166294 | 0.011905 | -0.720609 | 0.000684 | -12.533196 |
| -0.007861 | 0.250000 | -0.031445 | 0.051587 | -0.152389 | 0.011905 | -0.660353 | 0.000684 | -11.485189 |
| 0.048407 | 0.250000 | 0.193629 | 0.051587 | 0.938355 | 0.011905 | 4.066207 | 0.000684 | 70.721499 |
| 0.001093 | 0.250000 | 0.004372 | 0.051587 | 0.021190 | 0.011905 | 0.091822 | 0.000684 | 1.597013 |
| 0.006472 | 0.250000 | 0.025890 | 0.051587 | 0.125466 | 0.011905 | 0.543688 | 0.000684 | 9.456096 |
| -0.006099 | 0.250000 | -0.024395 | 0.051587 | -0.118221 | 0.011905 | -0.512292 | 0.000684 | -8.910033 |
| -0.004745 | 0.250000 | -0.018980 | 0.051587 | -0.091980 | 0.011905 | -0.398582 | 0.000684 | -6.932330 |
| -0.017479 | 0.250000 | -0.069916 | 0.051587 | -0.338823 | 0.011905 | -1.468231 | 0.000684 | -25.536209 |
| 0.007444 | 0.250000 | 0.029778 | 0.051587 | 0.144309 | 0.011905 | 0.625337 | 0.000684 | 10.876179 |
| 0.014339 | 0.250000 | 0.057357 | 0.051587 | 0.277962 | 0.011905 | 1.204503 | 0.000684 | 20.949318 |
