"what","portfolio.monthly.return....","benchmark.return...."
"Adjusted Sharpe ratio (Risk free = 0)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0)",6.41032449467131,5.52428356146811
"Adjusted Sharpe ratio (Risk free = 0)",10.0784877594618,9.91308555981278
"Adjusted Sharpe ratio (Risk free = 0)",2.10556324839926,2.18190484797412
"Adjusted Sharpe ratio (Risk free = 0)",2.75037820130038,2.66145379702585
"Adjusted Sharpe ratio (Risk free = 0)",3.58519705514549,2.74805582705502
"Adjusted Sharpe ratio (Risk free = 0)",3.32398665410177,2.0985247651106
"Adjusted Sharpe ratio (Risk free = 0)",3.97168021134818,3.68522504902371
"Adjusted Sharpe ratio (Risk free = 0)",2.94910227069841,2.73524952595159
"Adjusted Sharpe ratio (Risk free = 0)",3.68844865759473,3.53204778116349
"Adjusted Sharpe ratio (Risk free = 0)",3.22865330827017,3.0616210604215
"Adjusted Sharpe ratio (Risk free = 0)",4.0476389321581,3.77800440789457
"Adjusted Sharpe ratio (Risk free = 0)",4.5745441579044,4.24828277456296
"Adjusted Sharpe ratio (Risk free = 0)",2.56702030767874,2.41689238014828
"Adjusted Sharpe ratio (Risk free = 0)",1.25036538469724,1.17691522108557
"Adjusted Sharpe ratio (Risk free = 0)",1.29935407305835,1.22012834616633
"Adjusted Sharpe ratio (Risk free = 0)",0.873999016720042,0.813940518478712
"Adjusted Sharpe ratio (Risk free = 0)",0.713762790626204,0.898431561110465
"Adjusted Sharpe ratio (Risk free = 0)",1.01378727331201,1.14338052587077
"Adjusted Sharpe ratio (Risk free = 0)",1.24199386502009,1.3462932766438
"Adjusted Sharpe ratio (Risk free = 0)",0.780148085200774,0.86405099540877
"Adjusted Sharpe ratio (Risk free = 0)",0.854445321167767,0.913576527487968
"Adjusted Sharpe ratio (Risk free = 0)",0.813978392302269,0.88123990955953
"Adjusted Sharpe ratio (Risk free = 0)",0.759143466342358,0.86178279109254
"Adjusted Sharpe ratio (Risk free = 0.05)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.05)",-26.6641364459022,-28.2297944603703
"Adjusted Sharpe ratio (Risk free = 0.05)",-48.9175109831827,-52.5816514709705
"Adjusted Sharpe ratio (Risk free = 0.05)",-29.9468606115023,-31.8103338401078
"Adjusted Sharpe ratio (Risk free = 0.05)",-35.1294182116877,-36.391244600194
"Adjusted Sharpe ratio (Risk free = 0.05)",-32.4575131933999,-34.857496730412
"Adjusted Sharpe ratio (Risk free = 0.05)",-30.7522862129349,-29.7586552231657
"Adjusted Sharpe ratio (Risk free = 0.05)",1.00798340407341,1.89710259850896
"Adjusted Sharpe ratio (Risk free = 0.05)",0.370473710055284,0.816328233652089
"Adjusted Sharpe ratio (Risk free = 0.05)",-2.34833789006666,-2.76539646443469
"Adjusted Sharpe ratio (Risk free = 0.05)",-1.73752463856941,-2.2357878809983
"Adjusted Sharpe ratio (Risk free = 0.05)",-2.06061818406544,-1.92914959802479
"Adjusted Sharpe ratio (Risk free = 0.05)",-2.34028071228341,-2.19640792554419
"Adjusted Sharpe ratio (Risk free = 0.05)",-2.78787409651887,-2.67796636517124
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.1737063256635,-3.11101082827973
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.10801178831069,-3.02943556671106
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.53842236091071,-3.44816316634286
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.60226648595252,-3.43211440602696
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.41297500625289,-3.42859733388535
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.36000138103224,-3.37870773699869
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.53648683650099,-3.58753513945339
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.56112459651346,-3.60201783579207
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.60405382060431,-3.63766661302342
"Adjusted Sharpe ratio (Risk free = 0.05)",-3.63566464445923,-3.64454577226992
"Adjusted Sharpe ratio (Risk free = 0.1)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.1)",-144.55985873912,-147.358019979099
"Adjusted Sharpe ratio (Risk free = 0.1)",-276.212558400332,-293.654097127688
"Adjusted Sharpe ratio (Risk free = 0.1)",-122.595131850317,-132.524815095862
"Adjusted Sharpe ratio (Risk free = 0.1)",-145.651095100291,-152.189710066296
"Adjusted Sharpe ratio (Risk free = 0.1)",-142.406299342844,-141.056555690003
"Adjusted Sharpe ratio (Risk free = 0.1)",-126.195246779929,-102.709305905126
"Adjusted Sharpe ratio (Risk free = 0.1)",21.3736346317978,27.1035231008145
"Adjusted Sharpe ratio (Risk free = 0.1)",14.2426457830885,16.7315301507701
"Adjusted Sharpe ratio (Risk free = 0.1)",-1.65907239266165,-4.0894981029968
"Adjusted Sharpe ratio (Risk free = 0.1)",1.67863802395788,-1.20106444891439
"Adjusted Sharpe ratio (Risk free = 0.1)",-3.70790515329143,-2.66668941585251
"Adjusted Sharpe ratio (Risk free = 0.1)",-5.7954861586627,-4.47363118142958
"Adjusted Sharpe ratio (Risk free = 0.1)",-6.53021843293884,-5.72368132702848
"Adjusted Sharpe ratio (Risk free = 0.1)",-6.60903878818997,-6.23296390831144
"Adjusted Sharpe ratio (Risk free = 0.1)",-5.79087075242501,-5.34735800259232
"Adjusted Sharpe ratio (Risk free = 0.1)",-7.58615201967958,-7.11191253250328
"Adjusted Sharpe ratio (Risk free = 0.1)",-7.56796258678545,-6.78405372403395
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.09554531424285,-7.77516870000644
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.64758295014604,-8.32301395638342
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.52449599833048,-8.47237894978518
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.57116985117991,-8.34898720339396
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.45446277237424,-8.17275094880604
"Adjusted Sharpe ratio (Risk free = 0.1)",-8.30447183101349,-7.88968205893234
"Adjusted Sharpe ratio (Risk free = 0.15)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.15)",-277.227945576767,-279.567408446823
"Adjusted Sharpe ratio (Risk free = 0.15)",-533.301336304096,-564.439653339723
"Adjusted Sharpe ratio (Risk free = 0.15)",-217.470934556485,-235.701094520335
"Adjusted Sharpe ratio (Risk free = 0.15)",-258.914378345781,-270.69461224577
"Adjusted Sharpe ratio (Risk free = 0.15)",-257.218254858998,-248.119398966028
"Adjusted Sharpe ratio (Risk free = 0.15)",-223.261734573865,-170.687153230833
"Adjusted Sharpe ratio (Risk free = 0.15)",45.8374103678931,56.9337075584606
"Adjusted Sharpe ratio (Risk free = 0.15)",30.2351124231945,34.834687307427
"Adjusted Sharpe ratio (Risk free = 0.15)",-0.0920920778946437,-4.84110214893265
"Adjusted Sharpe ratio (Risk free = 0.15)",5.95029707273371,0.367180609262723
"Adjusted Sharpe ratio (Risk free = 0.15)",-5.1532134377525,-3.00157988918498
"Adjusted Sharpe ratio (Risk free = 0.15)",-9.29696277380956,-6.49932982546726
"Adjusted Sharpe ratio (Risk free = 0.15)",-9.70895958515539,-8.11225130649268
"Adjusted Sharpe ratio (Risk free = 0.15)",-9.022079653474,-8.34111341937509
"Adjusted Sharpe ratio (Risk free = 0.15)",-7.27687108422248,-6.49269020805157
"Adjusted Sharpe ratio (Risk free = 0.15)",-10.6890657563301,-9.84566866422569
"Adjusted Sharpe ratio (Risk free = 0.15)",-10.6510839184032,-9.10419775488652
"Adjusted Sharpe ratio (Risk free = 0.15)",-12.0198195685538,-11.1581044730433
"Adjusted Sharpe ratio (Risk free = 0.15)",-13.2377348646808,-12.3459434463802
"Adjusted Sharpe ratio (Risk free = 0.15)",-12.7234002948308,-12.4300231412443
"Adjusted Sharpe ratio (Risk free = 0.15)",-12.74838747347,-12.1000822532091
"Adjusted Sharpe ratio (Risk free = 0.15)",-12.4537283103124,-11.6855759478089
"Adjusted Sharpe ratio (Risk free = 0.15)",-12.1152171273964,-11.0773735625101
"Adjusted Sharpe ratio (Risk free = 0.2)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.2)",-373.06838233079,-374.550804359319
"Adjusted Sharpe ratio (Risk free = 0.2)",-719.081156912708,-759.862291590058
"Adjusted Sharpe ratio (Risk free = 0.2)",-283.488895581497,-307.528455553998
"Adjusted Sharpe ratio (Risk free = 0.2)",-337.819102347576,-353.21931425874
"Adjusted Sharpe ratio (Risk free = 0.2)",-337.883935152348,-322.346927498565
"Adjusted Sharpe ratio (Risk free = 0.2)",-290.859515753031,-216.436950926783
"Adjusted Sharpe ratio (Risk free = 0.2)",63.7157900594565,78.6599819815091
"Adjusted Sharpe ratio (Risk free = 0.2)",41.7103091239296,47.781337963932
"Adjusted Sharpe ratio (Risk free = 0.2)",1.07039466899007,-5.36171432899234
"Adjusted Sharpe ratio (Risk free = 0.2)",8.98237273577039,1.44807227617898
"Adjusted Sharpe ratio (Risk free = 0.2)",-6.25645772919622,-3.27252785094267
"Adjusted Sharpe ratio (Risk free = 0.2)",-11.9090752420789,-7.9961558207817
"Adjusted Sharpe ratio (Risk free = 0.2)",-11.866258396427,-9.69348726131355
"Adjusted Sharpe ratio (Risk free = 0.2)",-10.489691634121,-9.59926259143892
"Adjusted Sharpe ratio (Risk free = 0.2)",-8.06107917825245,-7.0473298639989
"Adjusted Sharpe ratio (Risk free = 0.2)",-12.6456914535769,-11.5508457869725
"Adjusted Sharpe ratio (Risk free = 0.2)",-12.6078229805036,-10.5009529934027
"Adjusted Sharpe ratio (Risk free = 0.2)",-14.5917780337321,-13.3072136051606
"Adjusted Sharpe ratio (Risk free = 0.2)",-16.2897389293749,-14.9507628015871
"Adjusted Sharpe ratio (Risk free = 0.2)",-15.4677499527968,-14.975291398909
"Adjusted Sharpe ratio (Risk free = 0.2)",-15.4691076789937,-14.4871447943874
"Adjusted Sharpe ratio (Risk free = 0.2)",-15.0472204584772,-13.90221854643
"Adjusted Sharpe ratio (Risk free = 0.2)",-14.5768311872049,-13.0618155562518
"Adjusted Sharpe ratio (Risk free = 0.25)",NA,NA
"Adjusted Sharpe ratio (Risk free = 0.25)",-429.602677463571,-430.413982677949
"Adjusted Sharpe ratio (Risk free = 0.25)",-828.596972114634,-875.116464025647
"Adjusted Sharpe ratio (Risk free = 0.25)",-321.651497423289,-349.080306194354
"Adjusted Sharpe ratio (Risk free = 0.25)",-383.495880988812,-400.998815151988
"Adjusted Sharpe ratio (Risk free = 0.25)",-384.826508947001,-365.27810893715
"Adjusted Sharpe ratio (Risk free = 0.25)",-330.064784362909,-242.560338851988
"Adjusted Sharpe ratio (Risk free = 0.25)",74.3222757407072,91.5268686220415
"Adjusted Sharpe ratio (Risk free = 0.25)",48.4477279946268,55.3693578430111
"Adjusted Sharpe ratio (Risk free = 0.25)",1.7512324316727,-5.67672712614448
"Adjusted Sharpe ratio (Risk free = 0.25)",10.7453569060075,2.0604342323417
"Adjusted Sharpe ratio (Risk free = 0.25)",-6.93750672032239,-3.45270222655733
"Adjusted Sharpe ratio (Risk free = 0.25)",-13.4916854490357,-8.90460906651451
"Adjusted Sharpe ratio (Risk free = 0.25)",-13.1155496548793,-10.6005530917779
"Adjusted Sharpe ratio (Risk free = 0.25)",-11.292677166366,-10.2812734806555
"Adjusted Sharpe ratio (Risk free = 0.25)",-8.45865452603483,-7.31364071534196
"Adjusted Sharpe ratio (Risk free = 0.25)",-13.7319009400548,-12.4926787605621
"Adjusted Sharpe ratio (Risk free = 0.25)",-13.6964806020814,-11.2598551424319
